court,category,count,type,region,year,female_combined,male_combined,total_combined
Сузакский р/суд,psychological,0.0,victim,,2022,,,
Ноокенский р/суд,psychological,4.0,victim,,2022,,,
Токтогульский р/суд,psychological,0.0,victim,,2022,,,
Базаркоргонский р/суд,psychological,0.0,victim,,2022,,,
Ташкумырский г/суд,psychological,0.0,victim,,2022,,,
Аксыйский р/суд,psychological,0.0,victim,,2022,,,
Майлуусуйский г/суд,psychological,0.0,victim,,2022,,,
Чаткальский р/суд,psychological,0.0,victim,,2022,,,
Кара-Кульский г/суд,psychological,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,psychological,9.0,victim,,2022,,,
Ала-Букинский р/суд,psychological,0.0,victim,,2022,,,
Нарынский г/суд,psychological,43.0,victim,,2022,,,
Кочкорский р/суд,psychological,0.0,victim,,2022,,,
Жумгальский р/суд,psychological,0.0,victim,,2022,,,
Ат-Башинский р/суд,psychological,0.0,victim,,2022,,,
Акталинский р/суд,psychological,0.0,victim,,2022,,,
Нарынский р/суд,psychological,4.0,victim,,2022,,,
Таласский г/суд,psychological,30.0,victim,,2022,,,
Таласский р/суд,psychological,15.0,victim,,2022,,,
Бакай-Атинский р/суд,psychological,8.0,victim,,2022,,,
Айтматовский р/суд,psychological,0.0,victim,,2022,,,
Манасский р/суд,psychological,0.0,victim,,2022,,,
Кадамжайский р/суд,psychological,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,psychological,8.0,victim,,2022,,,
Лейлекский р/суд,psychological,0.0,victim,,2022,,,
Баткенский р/суд,psychological,0.0,victim,,2022,,,
Сулюктинский р/суд,psychological,12.0,victim,,2022,,,
Итого ,psychological,862.0,victim,,2022,,,
Свердловский р/суд,sexual,0.0,victim,,2022,,,
Аламудунский р/суд,sexual,0.0,victim,,2022,,,
Сокулукский р/суд,sexual,0.0,victim,,2022,,,
Жайылский р/суд,sexual,0.0,victim,,2022,,,
Чуйский р/суд,sexual,0.0,victim,,2022,,,
Московский р/суд,sexual,0.0,victim,,2022,,,
Иссык-Атинский р/суд,sexual,0.0,victim,,2022,,,
Кеминский р/суд,sexual,0.0,victim,,2022,,,
Панфиловский р/суд,sexual,0.0,victim,,2022,,,
Токмокский г/суд,sexual,0.0,victim,,2022,,,
Ак-Сууйский р/суд,sexual,0.0,victim,,2022,,,
Иссык-Кульский р/суд,sexual,0.0,victim,,2022,,,
Жети-Огузский р/суд,sexual,0.0,victim,,2022,,,
Каракольский г/суд,sexual,0.0,victim,,2022,,,
Балыкчинский г/суд,sexual,0.0,victim,,2022,,,
Тонский р/суд,sexual,0.0,victim,,2022,,,
Тюпский р/суд,sexual,0.0,victim,,2022,,,
Ошский г/суд,sexual,0.0,victim,,2022,,,
Кара-Сууйский р/суд,sexual,0.0,victim,,2022,,,
Узгенский р/суд,sexual,0.0,victim,,2022,,,
Ноокатский р/суд,sexual,0.0,victim,,2022,,,
Араванский р/суд,sexual,0.0,victim,,2022,,,
Алайский р/суд,sexual,0.0,victim,,2022,,,
Чон-Алайский р/суд,sexual,0.0,victim,,2022,,,
Жалал-Абадский г/суд,sexual,0.0,victim,,2022,,,
Сузакский р/суд,sexual,0.0,victim,,2022,,,
Ноокенский р/суд,sexual,0.0,victim,,2022,,,
Токтогульский р/суд,sexual,0.0,victim,,2022,,,
Базаркоргонский р/суд,sexual,0.0,victim,,2022,,,
Ташкумырский г/суд,sexual,0.0,victim,,2022,,,
Аксыйский р/суд,sexual,0.0,victim,,2022,,,
Майлуусуйский г/суд,sexual,0.0,victim,,2022,,,
Чаткальский р/суд,sexual,0.0,victim,,2022,,,
Кара-Кульский г/суд,sexual,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,sexual,0.0,victim,,2022,,,
Ала-Букинский р/суд,sexual,0.0,victim,,2022,,,
Нарынский г/суд,sexual,0.0,victim,,2022,,,
Кочкорский р/суд,sexual,0.0,victim,,2022,,,
Жумгальский р/суд,sexual,0.0,victim,,2022,,,
Ат-Башинский р/суд,sexual,0.0,victim,,2022,,,
Акталинский р/суд,sexual,0.0,victim,,2022,,,
Нарынский р/суд,sexual,0.0,victim,,2022,,,
Таласский г/суд,sexual,0.0,victim,,2022,,,
Таласский р/суд,sexual,0.0,victim,,2022,,,
Бакай-Атинский р/суд,sexual,0.0,victim,,2022,,,
Айтматовский р/суд,sexual,0.0,victim,,2022,,,
Манасский р/суд,sexual,0.0,victim,,2022,,,
Кадамжайский р/суд,sexual,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,sexual,0.0,victim,,2022,,,
Лейлекский р/суд,sexual,0.0,victim,,2022,,,
Баткенский р/суд,sexual,0.0,victim,,2022,,,
Сулюктинский р/суд,sexual,0.0,victim,,2022,,,
Итого ,sexual,0.0,victim,,2022,,,
Свердловский р/суд,other,0.0,victim,,2022,,,
Аламудунский р/суд,other,0.0,victim,,2022,,,
Сокулукский р/суд,other,0.0,victim,,2022,,,
Жайылский р/суд,other,0.0,victim,,2022,,,
Чуйский р/суд,other,0.0,victim,,2022,,,
Московский р/суд,other,0.0,victim,,2022,,,
Иссык-Атинский р/суд,other,0.0,victim,,2022,,,
Кеминский р/суд,other,0.0,victim,,2022,,,
Панфиловский р/суд,other,0.0,victim,,2022,,,
Токмокский г/суд,other,0.0,victim,,2022,,,
Ак-Сууйский р/суд,other,0.0,victim,,2022,,,
Иссык-Кульский р/суд,other,0.0,victim,,2022,,,
Жети-Огузский р/суд,other,0.0,victim,,2022,,,
Каракольский г/суд,other,0.0,victim,,2022,,,
Балыкчинский г/суд,other,1.0,victim,,2022,,,
Тонский р/суд,other,0.0,victim,,2022,,,
Тюпский р/суд,other,0.0,victim,,2022,,,
Ошский г/суд,other,0.0,victim,,2022,,,
Кара-Сууйский р/суд,other,18.0,victim,,2022,,,
Узгенский р/суд,other,0.0,victim,,2022,,,
Ноокатский р/суд,other,0.0,victim,,2022,,,
Араванский р/суд,other,0.0,victim,,2022,,,
Алайский р/суд,other,0.0,victim,,2022,,,
Чон-Алайский р/суд,other,0.0,victim,,2022,,,
Жалал-Абадский г/суд,other,0.0,victim,,2022,,,
Сузакский р/суд,other,0.0,victim,,2022,,,
Ноокенский р/суд,other,0.0,victim,,2022,,,
Токтогульский р/суд,other,0.0,victim,,2022,,,
Базаркоргонский р/суд,other,0.0,victim,,2022,,,
Ташкумырский г/суд,other,0.0,victim,,2022,,,
Аксыйский р/суд,other,0.0,victim,,2022,,,
Майлуусуйский г/суд,other,0.0,victim,,2022,,,
Чаткальский р/суд,other,0.0,victim,,2022,,,
Кара-Кульский г/суд,other,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,other,0.0,victim,,2022,,,
Ала-Букинский р/суд,other,0.0,victim,,2022,,,
Нарынский г/суд,other,0.0,victim,,2022,,,
Кочкорский р/суд,other,0.0,victim,,2022,,,
Жумгальский р/суд,other,43.0,victim,,2022,,,
Ат-Башинский р/суд,other,0.0,victim,,2022,,,
Акталинский р/суд,other,0.0,victim,,2022,,,
Нарынский р/суд,other,0.0,victim,,2022,,,
Таласский г/суд,other,0.0,victim,,2022,,,
Таласский р/суд,other,0.0,victim,,2022,,,
Бакай-Атинский р/суд,other,0.0,victim,,2022,,,
Айтматовский р/суд,other,0.0,victim,,2022,,,
Манасский р/суд,other,0.0,victim,,2022,,,
Кадамжайский р/суд,other,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,other,0.0,victim,,2022,,,
Лейлекский р/суд,other,0.0,victim,,2022,,,
Баткенский р/суд,other,0.0,victim,,2022,,,
Сулюктинский р/суд,other,0.0,victim,,2022,,,
Итого ,other,62.0,victim,,2022,,,
Свердловский р/суд,male,18.0,victim,,2022,,,
Аламудунский р/суд,male,1.0,victim,,2022,,,
Сокулукский р/суд,male,2.0,victim,,2022,,,
Жайылский р/суд,male,2.0,victim,,2022,,,
Чуйский р/суд,male,4.0,victim,,2022,,,
Московский р/суд,male,1.0,victim,,2022,,,
Иссык-Атинский р/суд,male,0.0,victim,,2022,,,
Кеминский р/суд,male,6.0,victim,,2022,,,
Панфиловский р/суд,male,2.0,victim,,2022,,,
Токмокский г/суд,male,0.0,victim,,2022,,,
Ак-Сууйский р/суд,male,1.0,victim,,2022,,,
Иссык-Кульский р/суд,male,1.0,victim,,2022,,,
Жети-Огузский р/суд,male,5.0,victim,,2022,,,
Каракольский г/суд,male,11.0,victim,,2022,,,
Балыкчинский г/суд,male,10.0,victim,,2022,,,
Тонский р/суд,male,2.0,victim,,2022,,,
Тюпский р/суд,male,7.0,victim,,2022,,,
